STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-14,,40,35,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-15,,37,33,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-16,,42,32,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-17,,58,36,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-18,,42,37,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-19,,52,34,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-20,,56,43,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-21,,44,35,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-22,,43,32,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-23,,47,42,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-24,,45,29,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-25,,36,26,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-26,,40,28,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-27,,43,37,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-28,,40,34,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-29,,45,33,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-30,,57,45,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-01,,62,33,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-02,,33,24,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-03,,29,16,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-04,,37,15,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-05,,39,35,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-06,,34,21,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-07,,26,14,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-08,,34,22,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-09,,39,25,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-10,,44,17,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-11,,45,25,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-12,,42,32,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-13,,42,30,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-14,,32,26,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-15,,36,24,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-16,,49,37,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-17,,42,35,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-18,,44,33,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-19,,37,32,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-20,,33,28,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-21,,37,27,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-22,,56,31,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-23,,48,29,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-24,,36,27,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-25,,36,29,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-26,,47,34,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-27,,46,41,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-28,,49,40,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-29,,40,37,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-30,,46,35,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-31,,46,37,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-01,,43,34,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-02,,54,38,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-03,,41,35,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-04,,35,29,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-05,,34,27,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-06,,44,31,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-07,,35,26,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-08,,34,18,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-09,,28,17,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-10,,37,26,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-11,,46,30,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-12,,50,42,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-13,,52,31,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-14,,30,18,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-15,,49,30,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-16,,46,38,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-17,,56,37,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-18,,46,36,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-19,,42,30,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-20,,45,28,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-21,,43,32,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-22,,44,31,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-23,,58,44,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-24,,49,35,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-25,,48,36,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-26,,54,36,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-27,,51,36,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-28,,42,31,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-29,,41,32,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-30,,43,38,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-01-31,,35,30,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-01,,35,23,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-02,,42,23,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-03,,37,24,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-04,,25,18,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-05,,31,21,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-06,,35,27,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-07,,39,28,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-08,,32,28,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-09,,34,27,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-10,,37,27,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-11,,37,23,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-12,,46,30,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-13,,35,24,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-14,,47,24,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-15,,47,35,
USW00094728,"NY CITY CENTRAL PARK, NY US",1870-02-16,,43,32,
